Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Omar Narvaez*\narvaom01,26,97,322,280,30,77,14,1,9,30,0,2,38,65,.275,.366,.429,.794,119,120,5,2,2,0,1
2,1B,José Abreu\abreujo02,31,128,553,499,68,132,36,1,22,78,2,0,37,109,.265,.325,.473,.798,117,236,14,11,0,6,7
3,2B,Yoan Moncada#\moncayo01,23,149,650,578,73,136,32,6,17,61,12,6,67,217,.235,.315,.400,.714,96,231,4,1,2,2,1
4,SS,Tim Anderson\anderti01,25,153,606,567,77,136,28,3,20,64,26,8,30,149,.240,.281,.406,.687,87,230,15,4,2,3,2
5,3B,Yolmer Sanchez#\sanchca01,26,155,662,600,62,145,34,10,8,55,14,6,49,138,.242,.306,.372,.678,87,223,9,8,2,3,0
6,LF,Nicky Delmonico*\delmoni01,25,88,318,284,31,61,11,5,8,25,1,2,27,80,.215,.296,.373,.669,84,106,7,6,0,1,1
7,CF,Adam Engel\engelad01,26,143,463,429,49,101,17,4,6,29,16,8,18,129,.235,.279,.336,.614,69,144,1,8,7,1,0
8,RF,Avisail Garcia\garciav01,27,93,385,356,47,84,11,2,19,49,3,1,20,102,.236,.281,.438,.719,95,156,9,4,0,5,2
9,DH,Matt Davidson\davidma02,27,123,496,434,51,99,23,0,20,62,0,0,52,165,.228,.319,.419,.738,102,182,8,7,0,3,0
10,OF,Daniel Palka*\palkada01,26,124,449,417,56,100,15,3,27,67,2,1,30,153,.240,.294,.484,.778,110,202,7,2,0,0,3
11,OF,Leury Garcia#\garcile02,27,82,275,258,23,70,7,4,4,32,12,1,9,69,.271,.303,.376,.679,87,97,2,3,4,1,0
12,C,Kevan Smith\smithke04,30,52,187,171,21,50,6,0,3,21,1,0,10,18,.292,.348,.380,.728,102,65,5,5,0,1,0
13,C,Welington Castillo\castiwe01,31,49,181,170,17,44,7,0,6,15,1,0,9,46,.259,.304,.406,.710,94,69,7,2,0,0,0
